model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M03,6ch,7,13,0.3325349301397206,0.32737683469040574,0.3325349301397206,0.32737683469040574
M03,6ch,7,14,0.38882235528942116,0.38495649490224876,0.38882235528942116,0.38495649490224876
M03,6ch,7,15,0.38203592814371257,0.39000365745738585,0.38203592814371257,0.39000365745738585
M03,6ch,21,1,0.4183632734530938,0.4060597976766744,0.4183632734530938,0.4060597976766744
M03,6ch,21,2,0.3013972055888224,0.26581392162572975,0.3013972055888224,0.26581392162572975
M03,6ch,21,3,0.2678642714570858,0.24564012608980634,0.2678642714570858,0.24564012608980634
M03,6ch,21,4,0.3321357285429142,0.32419818202914746,0.3321357285429142,0.32419818202914746
M03,6ch,21,5,0.2962075848303393,0.2731951339641599,0.2962075848303393,0.2731951339641599
M03,6ch,21,6,0.23672654690618763,0.23530195924158745,0.23672654690618763,0.23530195924158745
M03,6ch,21,7,0.5221556886227545,0.5280582812733852,0.5221556886227545,0.5280582812733852
M03,6ch,21,8,0.35768463073852297,0.34040344418461876,0.35768463073852297,0.34040344418461876
M03,6ch,21,9,0.48982035928143713,0.4192370303235109,0.48982035928143713,0.4192370303235109
M03,6ch,21,10,0.4119760479041916,0.40949122709988894,0.4119760479041916,0.40949122709988894
M03,6ch,21,11,0.3720558882235529,0.37648592565735284,0.3720558882235529,0.37648592565735284
M03,6ch,21,12,0.3089820359281437,0.27936152880750337,0.3089820359281437,0.27936152880750337
M03,6ch,21,13,0.3325349301397206,0.32737683469040574,0.3325349301397206,0.32737683469040574
M03,6ch,21,14,0.38882235528942116,0.38495649490224876,0.38882235528942116,0.38495649490224876
M03,6ch,21,15,0.38203592814371257,0.39000365745738585,0.38203592814371257,0.39000365745738585
M04,62ch,1,1,0.3600798403193613,0.344660912654339,0.3600798403193613,0.344660912654339
M04,62ch,1,2,0.42035928143712575,0.3986682179136304,0.42035928143712575,0.3986682179136304
M04,62ch,1,3,0.26467065868263473,0.25280536015596544,0.26467065868263473,0.25280536015596544
M04,62ch,1,4,0.3520958083832335,0.3530407821811154,0.3520958083832335,0.3530407821811154
M04,62ch,1,5,0.36806387225548903,0.3604019724379607,0.36806387225548903,0.3604019724379607
M04,62ch,1,6,0.2750499001996008,0.27615658857787023,0.2750499001996008,0.27615658857787023
M04,62ch,1,7,0.4598802395209581,0.4592175527632658,0.4598802395209581,0.4592175527632658
M04,62ch,1,8,0.34251497005988024,0.32964498061984254,0.34251497005988024,0.32964498061984254
M04,62ch,1,9,0.3149700598802395,0.2999628825042715,0.3149700598802395,0.2999628825042715
M04,62ch,1,10,0.45189620758483035,0.4467704008675101,0.45189620758483035,0.4467704008675101
M04,62ch,1,11,0.27265469061876246,0.26041274499793,0.27265469061876246,0.26041274499793
M04,62ch,1,12,0.3013972055888224,0.29383421070569105,0.3013972055888224,0.29383421070569105
