model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M23,6ch,7,6,0.2894211576846307,0.2756619141890694,0.28772635814889336,0.27430977505931997
M24,62ch,7,6,0.33612774451097804,0.3244729467727076,0.37062374245472834,0.3675844624950243
M24,6ch,7,6,0.3848303393213573,0.3725383919820068,0.4132796780684105,0.4148139554392262
M21,62ch,7,7,0.6315369261477046,0.6229015439972072,0.6406438631790744,0.6317520901109033
M21,6ch,7,7,0.5644710578842316,0.5529694258806263,0.6056338028169014,0.5961258924866999
M23,62ch,7,7,0.4103792415169661,0.40761384889943425,0.42414486921529176,0.4231185248839964
M23,6ch,7,7,0.3992015968063872,0.38715958698905634,0.40362173038229376,0.390826422861422
M24,62ch,7,7,0.6179640718562874,0.6176604016623133,0.6193158953722334,0.6193115363662809
M24,6ch,7,7,0.42594810379241516,0.4139870465367923,0.4458752515090543,0.4300947777302083
M21,62ch,7,8,0.45788423153692615,0.45965350623018975,0.49456740442655933,0.4998086921650712
M21,6ch,7,8,0.4726546906187625,0.4412808477509266,0.45995975855130783,0.4159483953781594
M23,62ch,7,8,0.39520958083832336,0.3919785421836427,0.39195171026156944,0.3894892435737247
M23,6ch,7,8,0.47305389221556887,0.43460615636828276,0.4676056338028169,0.42741755328640063
M24,62ch,7,8,0.4431137724550898,0.4398857062642785,0.48370221327967805,0.4831229098079043
M24,6ch,7,8,0.4538922155688623,0.44663020652558183,0.47283702213279677,0.4648935391757689
M21,62ch,7,9,0.41437125748502995,0.3904498331538625,0.42012072434607645,0.3982160888411772
M21,6ch,7,9,0.2818363273453094,0.2840164928576804,0.3255533199195171,0.2995509713799796
M23,62ch,7,9,0.22315369261477047,0.22344599687256028,0.22615694164989938,0.22750891941861207
M23,6ch,7,9,0.38043912175648703,0.3796361356446311,0.386317907444668,0.38569194432556436
M24,62ch,7,9,0.36167664670658684,0.3612786086818204,0.4048289738430583,0.4065330484845848
M24,6ch,7,9,0.2630738522954092,0.226663056267311,0.2567404426559356,0.2198746864414558
M21,62ch,7,10,0.3660678642714571,0.3646780250196564,0.3750503018108652,0.372584980585275
M21,6ch,7,10,0.48542914171656687,0.4771465382881729,0.48450704225352115,0.47419006714376843
M23,62ch,7,10,0.36047904191616764,0.35659704646008733,0.3617706237424547,0.3574848409069287
M23,6ch,7,10,0.4738522954091816,0.4718789704956048,0.48209255533199197,0.4804571589225366
M24,62ch,7,10,0.3221556886227545,0.3149768647230226,0.3327967806841046,0.3273424877803689
M24,6ch,7,10,0.3652694610778443,0.3533286432964251,0.3561368209255533,0.34510847487416924
M21,62ch,7,11,0.4483033932135729,0.4396827646911532,0.43822937625754527,0.43363836429358366
M21,6ch,7,11,0.3788423153692615,0.34213195672265273,0.37183098591549296,0.3363232974397241
M23,62ch,7,11,0.3121756487025948,0.27541062258394267,0.3150905432595573,0.28026001536176093
M23,6ch,7,11,0.3217564870259481,0.3143426123558589,0.32756539235412474,0.3211593621482366
