context,match,path
3 | 0.1086 | 0.4627 | 0.4405 | 0.3698 | 0.3861 | 45.000 | | M05 | Logistic Regression | 6ch | 0.4257 | 0.1030 | 0.4304 | 0.,M05,results/reproduced_tables/reproduced_tables_all.md
4 | 0.1015 | 0.4842 | 0.4160 | 0.3322 | 0.4706 | 45.000 | | M06 | Naive Bayes | 62ch | 0.3791 | 0.1091 | 0.3986 | 0.1044 | ,M06,results/reproduced_tables/reproduced_tables_all.md
6 | 0.1044 | 0.4173 | 0.2294 | 0.4348 | 0.4349 | 45.000 | | M06 | Naive Bayes | 6ch | 0.3759 | 0.0868 | 0.3834 | 0.0812 | 0,M06,results/reproduced_tables/reproduced_tables_all.md
4 | 0.0812 | 0.4114 | 0.3232 | 0.3037 | 0.4653 | 45.000 | | M07 | Extra Trees | 62ch | 0.4717 | 0.1250 | 0.4765 | 0.1230 | ,M07,results/reproduced_tables/reproduced_tables_all.md
5 | 0.1230 | 0.4929 | 0.4926 | 0.4161 | 0.4851 | 45.000 | | M07 | Extra Trees | 6ch | 0.4076 | 0.0977 | 0.4195 | 0.0935 | 0,M07,results/reproduced_tables/reproduced_tables_all.md
5 | 0.0935 | 0.4338 | 0.4440 | 0.3370 | 0.4155 | 45.000 | | M08 | Gradient Boosting | 62ch | 0.4765 | 0.1298 | 0.4821 | 0.1,M08,results/reproduced_tables/reproduced_tables_all.md
1 | 0.1299 | 0.5073 | 0.5080 | 0.4142 | 0.4767 | 45.000 | | M08 | Gradient Boosting | 6ch | 0.4152 | 0.0871 | 0.4221 | 0.08,M08,results/reproduced_tables/reproduced_tables_all.md
2 | 0.0893 | 0.4527 | 0.3969 | 0.3711 | 0.4149 | 45.000 | | M10 | MLP (sklearn) | 62ch | 0.4790 | 0.1169 | 0.4825 | 0.1161 ,M10,results/reproduced_tables/reproduced_tables_all.md
5 | 0.1161 | 0.5406 | 0.4823 | 0.3949 | 0.4983 | 45.000 | | M10 | MLP (sklearn) | 6ch | 0.3978 | 0.0830 | 0.4116 | 0.0816 |,M10,results/reproduced_tables/reproduced_tables_all.md
- | --- | --- | --- | --- | --- | --- | --- | --- | --- | | M11 | Shallow MLP | 62ch | 45.000 | 0.4765 | 0.1042 | 0.4739 | ,M11,results/reproduced_tables/reproduced_tables_all.md
2 | 0.4739 | 0.1045 | 0.4961 | 0.0983 | 0.4930 | 0.0985 | | M11 | Shallow MLP | 6ch | 45.000 | 0.4004 | 0.0875 | 0.3929 | 0,M11,results/reproduced_tables/reproduced_tables_all.md
5 | 0.3929 | 0.0859 | 0.4118 | 0.0870 | 0.4049 | 0.0859 | | M12 | Deep MLP | 62ch | 45.000 | 0.4787 | 0.1098 | 0.4763 | 0.1,M12,results/reproduced_tables/reproduced_tables_all.md
8 | 0.4763 | 0.1097 | 0.4921 | 0.1023 | 0.4888 | 0.1015 | | M12 | Deep MLP | 6ch | 45.000 | 0.3978 | 0.0843 | 0.3888 | 0.08,M12,results/reproduced_tables/reproduced_tables_all.md
3 | 0.3888 | 0.0844 | 0.4005 | 0.0786 | 0.3955 | 0.0789 | | M13 | LSTM | 62ch | 45.000 | 0.4298 | 0.1174 | 0.4197 | 0.1280 ,M13,results/reproduced_tables/reproduced_tables_all.md
4 | 0.4197 | 0.1280 | 0.4312 | 0.1179 | 0.4213 | 0.1284 | | M13 | LSTM | 6ch | 45.000 | 0.3840 | 0.0713 | 0.3761 | 0.0721 |,M13,results/reproduced_tables/reproduced_tables_all.md
3 | 0.3761 | 0.0721 | 0.3847 | 0.0702 | 0.3773 | 0.0705 | | M14 | GRU | 62ch | 45.000 | 0.4390 | 0.1060 | 0.4310 | 0.1110 |,M14,results/reproduced_tables/reproduced_tables_all.md
0 | 0.4310 | 0.1110 | 0.4411 | 0.1055 | 0.4339 | 0.1101 | | M14 | GRU | 6ch | 45.000 | 0.3757 | 0.0779 | 0.3688 | 0.0796 | ,M14,results/reproduced_tables/reproduced_tables_all.md
9 | 0.3688 | 0.0796 | 0.3777 | 0.0768 | 0.3713 | 0.0785 | | M15 | Conv1D | 62ch | 45.000 | 0.4303 | 0.1235 | 0.4192 | 0.127,M15,results/reproduced_tables/reproduced_tables_all.md
5 | 0.4192 | 0.1276 | 0.4455 | 0.1062 | 0.4380 | 0.1101 | | M15 | Conv1D | 6ch | 45.000 | 0.3753 | 0.0750 | 0.3664 | 0.0784,M15,results/reproduced_tables/reproduced_tables_all.md
0 | 0.3664 | 0.0784 | 0.3789 | 0.0788 | 0.3728 | 0.0803 | | M16 | Vanilla Transformer | 62ch | 45.000 | 0.4047 | 0.0788 | 0,M16,results/reproduced_tables/reproduced_tables_all.md
