model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M16,62ch,7,11,0.3377245508982036,0.3248680927973466,0.3501006036217304,0.3407547328735826
M16,6ch,7,11,0.3776447105788423,0.3442727779324647,0.3758551307847082,0.3465893783575233
M17,62ch,7,11,0.39840319361277443,0.3752767152100488,0.4189134808853119,0.40279748831480716
M17,6ch,7,11,0.313373253493014,0.3129391539791961,0.3038229376257545,0.2964965393833068
M18,62ch,7,11,0.2874251497005988,0.27657407502383863,0.2953722334004024,0.28238927787889057
M18,6ch,7,11,0.44471057884231535,0.4126434222192437,0.4253521126760563,0.38971866366138846
M19,62ch,7,11,0.3033932135728543,0.2750883014720948,0.29617706237424546,0.28764977363641786
M19,6ch,7,11,0.3652694610778443,0.36637606566099845,0.3517102615694165,0.3490045581388497
M20,62ch,7,11,0.37524950099800397,0.3584747766779129,0.4016096579476861,0.3796160008164289
M20,6ch,7,11,0.4103792415169661,0.39734948895319766,0.4048289738430583,0.3921937436683095
M11,62ch,7,12,0.5696606786427145,0.5601751182918854,0.5891348088531188,0.5809563805997744
M11,6ch,7,12,0.29261477045908185,0.2864618916770906,0.31951710261569416,0.31726017216227304
M12,62ch,7,12,0.37524950099800397,0.35337638934181886,0.47002012072434607,0.46065521106899054
M12,6ch,7,12,0.34890219560878244,0.3343687619276553,0.3496981891348089,0.3354826860005046
M13,62ch,7,12,0.429940119760479,0.40172452256789704,0.4458752515090543,0.4255843177392071
M13,6ch,7,12,0.3097804391217565,0.3067839345909984,0.32474849094567404,0.3232951467618372
M14,62ch,7,12,0.37604790419161677,0.3760380966788516,0.3782696177062374,0.3736642352442275
M14,6ch,7,12,0.288622754491018,0.2705138081023756,0.3215291750503018,0.31231283377055497
M15,62ch,7,12,0.40758483033932136,0.3952995047024672,0.4225352112676056,0.39499539804417905
M15,6ch,7,12,0.27944111776447106,0.273497890230587,0.27927565392354126,0.278998586537952
M16,62ch,7,12,0.3277445109780439,0.32275100780512184,0.36016096579476864,0.35446870419603776
